director,id,profit
Tod Williams,41436,174512032.0
Mark Romanek,42188,-5544768.0
Anton Corbijn,27579,45464324.0
Kevin Smith,23742,25583804.0
Gareth Edwards,43933,3742978.0
Greg Berlanti,38408,67610124.0
Neil Marshall,23759,-5185211.0
Mike Mills,55347,2132926.0
BjÃ¶rn Stein,41505,-21148483.0
MÃ¥ns MÃ¥rlind,41505,-21148483.0
John Curran,44113,-12520282.0
Thor Freudenthal,33217,60700498.0
Steven R. Monroe,43947,-1427191.0
Alexandre Aja,43593,59188165.0
Roger Michell,38357,18785180.0
Tony Goldwyn,45094,-5767020.0
Andrei Konchalovsky,49852,-73821041.0
Daniel Stamm,38358,65938090.0
Michael Lembeck,23023,64462508.0
Doug Liman,38363,2188922.0
John Carpenter,45657,-9501026.0
Rodrigo CortÃ©s,26388,17164830.0
Jay Roach,38778,17387857.0
Lisa Cholodenko,39781,30705850.0
Colin Strause,42684,56821036.0
Greg Strause,42684,56821036.0
John Madden,48289,25636368.0
Debra Granik,39013,11831503.0
Stephen Milburn Anderson,27004,-6953512.0
Brad Peyton,39691,27483764.0
Jorma Taccone,37931,-3890000.0
James L. Brooks,42888,-71331093.0
Quentin Dupieux,45649,-401983.0
Brian Levant,23172,17236543.0
Jim Field Smith,34016,29779728.0
Malcolm Venville,53172,-11795060.0
William Monahan,48838,-20355892.0
Clint Eastwood,44603,55197635.0
Wes Craven,43931,-5170043.0
Dwight H. Little,42194,-29033000.0
Robert Redford,60309,-9521200.0
Neil LaBute,34803,28050886.0
Spencer Susser,44835,-6617054.0
David MichÃ´d,44629,-4000000.0
Tom Dey,38579,33761844.0
Oliver Stone,33909,64748021.0
Olivier Assayas,43434,-17128721.0
Mike Leigh,44009,10124262.0
Dan Rush,45658,-2385227.0
Breck Eisner,29427,34956140.0
John Cameron Mitchell,27585,129058.0
Anthony Bell,12819,19300000.0
Ben Gluck,12819,19300000.0
Eric Brevig,41515,121584141.0
Dania Pasquini,41592,12370930.0
Max Giwa,41592,12370930.0
James Gunn,45132,-2175862.0
Julie Taymor,44638,-19653406.0
Shana Feste,45272,5529194.0
Stuart Beattie,43930,-10495064.0
Tom Vaughan,27569,-15865707.0
John Erick Dowdle,44040,23583175.0
Rick Famuyiwa,34563,7409028.0
Hideki Futamura,31261,900000.0
Shinji Aramaki,31261,900000.0
Richard J. Lewis,46829,-21545699.0
Martin Campbell,12201,-5098661.0
Mark Davis,44877,-3436033.0
Noel Clarke,44877,-3436033.0
Abe Sylvia,70695,-3944875.0
Ariel Schulman,42296,3015943.0
Henry Joost,42296,3015943.0
Roger Kumble,35169,4340177.0
George Hickenlooper,45324,-11416317.0
Adam Green,43919,-2447396.0
Kevin Munroe,43935,-15365938.0
Jeffrey Friedman,38568,587000.0
Rob Epstein,38568,587000.0
Alex Gibney,43942,-2896265.0
Eugene Jarecki,43942,-2896265.0
Heidi Ewing,43942,-2896265.0
Morgan Spurlock,43942,-2896265.0
Rachel Grady,43942,-2896265.0
Seth Gordon,43942,-2896265.0
William Dear,56601,-8621007.0
Jim Mickle,52015,-616755.0
Sngmoo Lee,46528,-413912431.0
John Landis,50204,-5650813.0
Baltasar KormÃ¡kur,12645,-9944911.0
Chris Morris,37495,3302314.0
Lucy Walker,46689,-1312284.0
Robert Pulcini,47088,-6546921.0
Shari Springer Berman,47088,-6546921.0
Galt Niederhoffer,41556,-4376180.0
Ãlex de la Iglesia,56812,-3781334.0
Tyler Perry,35688,40072596.0
Paul W.S. Anderson,35791,236221663.0
Brad Anderson,43552,-8931318.0
Vipul Amrutlal Shah,49679,-5000000.0
Randall Wallace,39486,25251371.0
Taika Waititi,39356,40.0
David Fincher,550,37853753.0
Lana Wachowski,603,400517383.0
Lilly Wachowski,603,400517383.0
Sam Mendes,14,341296601.0
George Lucas,1893,809317558.0
Stephen Sommers,564,335885488.0
Frank Darabont,497,224600000.0
M. Night Shyamalan,745,632806292.0
Michael Apted,36643,226832400.0
Roger Kumble,796,65402208.0
Tim Burton,2668,106071502.0
Chris Weitz,2105,224483004.0
Paul Weitz,2105,224483004.0
